total_calories,meal_title,pred_calories
309.061981,"grilled chicken, olives, bell peppers and cherry tomatoes",287.78801
439.410522,"steak, couscous and asparagus",287.78801
131.041962,"tofu, honeydew melons, fish, mushroom and asparagus",287.78801
143.062012,pears and mandarin oranges,287.78801
268.48291,"bacon, pineapple and brussels sprouts",287.78801
328.277618,"pork, olive oil, broccoli and chicken breast",287.78801
448.149994,"egg whites, yam, olive oil, berries and sweet potato",287.78801
180.938934,"olive oil, corn on the cob and fish",287.78801
815.647644,"pizza, chicken, olive oil and tofu",287.78801
491.939545,"chicken breast, salmon, mayonnaise and pineapple",287.78801
554.760071,"beef, roasted potatoes and pizza",287.78801
91.424408,"cauliflower, eggplant, squash and olive oil",287.78801
246.028381,"pepperoni pizza, olive oil and pineapple",287.78801
76.889999,"fish, tomatoes and broccoli",287.78801
140.562927,"olive oil, arugula, walnuts and kale",287.78801
68.119995,apple,287.78801
397.013336,"pizza, fish, olive oil and green beans",287.78801
349.220032,"almonds, brussels sprouts and cauliflower",287.78801
495.910278,pizza and chicken,287.78801
129.01001,"pineapple, watermelon and berries",287.78801
82.590729,"olive oil, bok choy and cauliflower",287.78801
422.399261,"pork, roasted potatoes, caesar salad and sugar",287.78801
129.820007,avocado and olives,287.78801
333.108673,"avocado, olive oil, fish, cauliflower and white beans",287.78801
431.635803,"fish, wheat berry, olive oil, carrot and white beans",287.78801
581.508667,pork and pasta salad,287.78801
246.650803,"chia seeds, egg whites, greek yogurt, milk and broccoli",287.78801
369.660004,"tortilla, chicken and olives",287.78801
645.002014,"sausage, scrambled eggs and potatoes",287.78801
104.279999,caesar salad,287.78801
739.968018,almonds,287.78801
522.154663,"cheese pizza, chicken, beef and roasted potatoes",287.78801
156.428101,"chicken, olive oil, kale and parmesan cheese",287.78801
158.820007,scrambled eggs and pineapple,287.78801
50.428173,"carrot, broccoli and olive oil",287.78801
183.993713,"salmon, olive oil, bok choy, cauliflower and brown rice",287.78801
585.302002,pepperoni and sandwiches,287.78801
74.440002,"apple, cantaloupe and bell peppers",287.78801
305.828583,pepperoni pizza,287.78801
259.779999,"chicken, ham and corn",287.78801
309.110748,"chicken apple sausage, roasted potatoes, berries, egg whites and grapes",287.78801
115.100845,"olive oil, honeydew melons, green beans and pumpkin seeds",287.78801
108.642006,"olive oil, broccoli, mixed greens and eggplant",287.78801
208.233551,"broccoli, sweet potato, granola and vinaigrette",287.78801
539.864685,"cheese pizza, beef, chicken thighs and roasted potatoes",287.78801
581.253052,"chicken, olive oil, avocado and bulgur",287.78801
69.12085,"olive oil, pumpkin seeds, arugula and mixed greens",287.78801
176.140015,"pears, potatoes and strawberries",287.78801
196.840424,"pork, white rice and olive oil",287.78801
243.093658,"scrambled eggs, egg whites, chicken apple sausage and sweet potato",287.78801
151.999985,"apple, grapes and cherry tomatoes",287.78801
586.944702,"cheese pizza, beef, chicken thighs, roasted potatoes and caesar salad",287.78801
329.716248,"chicken, olive oil and spinach (raw)",287.78801
217.139999,scrambled eggs and strawberries,287.78801
230.333145,"cheese pizza, olive oil and figs",287.78801
269.916046,"chicken, caesar salad, olive oil, millet and green beans",287.78801
256.73999,beef and white rice,287.78801
69.738571,"olive oil, asparagus and spinach (raw)",287.78801
