total_calories,meal_title
300.794281,"pork, brown rice, olive oil and sugar"
137.569992,chicken apple sausage and roasted potatoes
419.438782,"pork, olive oil, sugar and mixed greens"
382.936646,"pork, caesar salad and mayonnaise"
232.050003,chilaquiles
45.482903,"olive oil, arugula, asparagus, mangos and mustard greens"
309.269989,"scrambled eggs, yam, olive oil, sweet potato and egg whites"
120.058434,"roasted potatoes, cauliflower and eggplant"
68.119995,apple
246.007996,"chicken breast, broccoli and squash"
195.199997,chicken apple sausage
44.459999,berries
253.520004,"chicken, potatoes and cantaloupe"
39.5,pineapple
506.355377,roast chicken and steak
32.459999,bacon
41.18898,"olive oil, mushroom, arugula and walnuts"
1116.391113,"salmon, brownies, beef, pasta and cheese pizza"
274.335999,almonds and potatoes
67.759995,potatoes
663.755798,"pork, roasted potatoes, pizza, caesar salad and rice noodles"
56.892494,olive oil and mixed greens
274.190002,"hash browns, sweet potato, egg whites and berries"
326.888977,"pepperoni pizza, olive oil, steak and caesar salad"
76.748177,"olives, carrot, cherry tomatoes and olive oil"
171.550003,potato chips and bacon
455.387939,"pepperoni pizza, pork, olive oil and pineapple"
351.886047,"cottage cheese, yam, pineapple, olive oil and watermelon"
198.320007,scrambled eggs
329.716248,"chicken, olive oil and spinach (raw)"
419.681702,"scrambled eggs, roasted potatoes, berries and pineapple"
48.059998,banana
257.924927,"roasted potatoes, chicken, rice noodles and cauliflower"
59.400002,"caesar salad, broccoli, squash and zucchini"
357.932007,sausage and olives
490.421692,"egg whites, sweet potato, salsa and olive oil"
402.117035,"egg whites, sweet potato, cantaloupe and pineapple"
92.5,beef
74.75,olives
102.699997,white rice
55.025124,"black beans, cheese, tortilla chips, spinach (raw) and corn"
1030.160645,"brownies, cheese pizza, chicken breast and olive oil"
55.965,"kale, chayote squash, zucchini and chard"
385.402527,"fish, olive oil, roasted potatoes, wheat berry and eggplant"
358.710999,"almonds, cantaloupe and cherry tomatoes"
369.660004,"tortilla, chicken and olives"
39.650002,kiwi
739.968018,almonds
49.230003,"onions, broccoli, squash, cucumbers and zucchini"
569.511536,"corn on the cob, pork and cheese pizza"
634.505066,"steak, chicken, roasted potatoes, cauliflower and olive oil"
66.128174,"olives, carrot and olive oil"
61.089886,olive oil and spinach (raw)
98.951996,yogurt
139.410004,"chicken, shrimp and corn"
488.636322,"fried rice, chicken, olive oil and millet"
406.68631,"egg whites, sweet potato, watermelon, olive oil and salsa"
178.039185,"roasted potatoes, olive oil, cauliflower, arugula and walnuts"
402.750031,nuts and banana
327.986023,"fried rice, turkey bacon, egg whites and honeydew melons"
125.389999,"berries, corn and kiwi"
148.089218,chicken and cream
47.599998,broccoli and mixed greens
157.001038,"olive oil, cauliflower and mixed greens"
271.540009,"almonds, apple, white rice and grapes"
549.203613,"chicken, olive oil and brown rice"
331.007507,beef and cheese pizza
348.823059,"egg whites, sausage, yam, olive oil and sweet potato"
372.167999,sausage
887.823059,almonds and apple
129.01001,"pineapple, watermelon and berries"
699.320068,"sausage, almonds and grapes"
280.3414,"couscous, fish, olive oil and corn"
69.159996,egg whites
581.441956,"almonds, apple, brussels sprouts and carrot"
48.959999,oatmeal
104.639999,tortilla
126.795876,"pasta, pesto, caesar salad and wheat berry"
124.5,"tortilla, broccoli and carrot"
685.993896,"chicken thighs, olive oil and chickpeas"
226.000137,"olive oil, bulgur, brussels sprouts, kale and parmesan cheese"
222.759506,"yam, berries, sweet potato and bacon"
79.220001,"olives, onions and cherry tomatoes"
104.279999,caesar salad
142.099991,"bacon, corn and lemon"
298.034393,"salmon, olive oil, brown rice and tatsoi"
450.576294,cheese pizza and chicken thighs
179.630005,frozen yogurt
451.635986,"eggs, chicken apple sausage, yam and berries"
532.706482,"cheese pizza, chicken and caesar salad"
485.186493,cheese pizza and chicken
137.089996,"ham, olives and berries"
373.190979,"fish, olive oil, country rice and bulgur"
454.517365,"pork, corn on the cob, olive oil and sugar"
333.850006,nuts
171.559998,"olives, spinach (raw) and cucumbers"
39.360001,carrot
127.970001,"olives, carrot and cherry tomatoes"
66.300003,"berries, bell peppers and tomatoes"
292.003998,"sausage, potatoes and orange"
374.663696,"pork, parsnips, sugar and white rice"
196.840424,"pork, white rice and olive oil"
517.644226,"pork, olive oil, corn on the cob, chicken and sugar"
504.417786,"beef, cheese pizza, olive oil, walnuts and broccoli"
84.419998,cheese
