total_calories,meal_title
239.029999,scrambled eggs and berries
94.99057,"quinoa, olive oil and green beans"
137.089996,"ham, olives and berries"
183.860001,"bacon, honeydew melons and cantaloupe"
166.112,"cod, corn and mixed greens"
435.626282,"chicken, roasted potatoes, olive oil and carrot"
757.612976,"almonds, corn on the cob and apple"
125.182129,quinoa and olive oil
315.340027,"nuts, white rice and broccoli"
161.386429,"olive oil, olives, spinach (raw) and sun dried tomatoes"
178.178009,yam and berries
496.129456,"salmon, avocado and beef"
89.679993,"potatoes, cantaloupe and broccoli"
363.61377,"beef, cheese pizza, olive oil, cauliflower and caesar salad"
164.49585,"cheese pizza, caesar salad and vinaigrette"
743.76001,"chicken, olive oil and artichokes"
462.057007,"bacon, scrambled eggs and yam"
334.483002,almonds and mandarin oranges
440.577881,"pork, olive oil and bulgur"
364.52002,"scrambled eggs, bagels, cream cheese and strawberries"
368.540344,steak and olive oil
652.463989,"biscuits, scrambled eggs, bacon and yam"
179.618988,"apple, corn on the cob, cantaloupe, carrot and cauliflower"
876.201843,"salmon, chicken, chicken salad and olive oil"
184.905411,white rice and carrot
74.852959,"vinaigrette, olive oil, feta cheese, lettuce and arugula"
153.690002,"pears, mandarin oranges and broccoli"
352.315979,chicken breast and tuna
265.983459,"chicken, olive oil, broccoli and chickpeas"
98.951996,yogurt
47.599998,broccoli and mixed greens
59.400002,"caesar salad, broccoli, squash and zucchini"
401.049988,chicken and olives
497.861359,"quinoa, pork, couscous and caesar salad"
688.649963,bacon and chicken apple sausage
42.389999,caesar salad and broccoli
100.300003,"watermelon, berries, pineapple, cantaloupe and raspberries"
115.954453,"chicken, kimchi and olive oil"
120.505836,"pork, brussels sprouts and olive oil"
718.51178,"chicken, carrot, cream, cauliflower and olive oil"
211.455994,"turkey bacon, honeydew melons and cantaloupe"
951.910889,"pizza, fish, olive oil and wheat berry"
132.87999,olives and carrot
399.430664,"salmon, olive oil, tofu, brussels sprouts and bulgur"
374.663696,"pork, parsnips, sugar and white rice"
150.470001,"chicken apple sausage, egg whites and grapes"
224.982895,bacon and brussels sprouts
178.039185,"roasted potatoes, olive oil, cauliflower, arugula and walnuts"
431.21994,almonds and pears
102.699997,white rice
514.643005,"pork, couscous and brussels sprouts"
395.013611,"pizza, fish, roasted potatoes, parsnips and olive oil"
47.158001,yam
797.566895,"salmon, beef, pasta and brown rice"
55.800003,lettuce and broccoli
372.326599,"roasted potatoes, chicken, olive oil, fish and green beans"
263.218994,"almonds, tomatoes and cauliflower"
493.637207,"beef, chicken, olive oil and roasted potatoes"
166.455505,"corn on the cob, tofu and olive oil"
494.065491,"scrambled eggs, bacon and granola"
244.80722,"brown rice, olive oil, goat cheese and mixed greens"
273.204987,"eggs, sweet potato, cantaloupe and cauliflower"
396.804047,"beef, wheat berry and olive oil"
377.425903,"beef, fried rice and cauliflower"
204.369385,"avocado, olive oil, cauliflower and mixed greens"
945.670715,"chicken thighs, cheese, salmon, tortilla and caesar salad"
181.779984,"white rice, berries and kiwi"
404.011017,"pork, sugar, carrot and white rice"
154.23642,"cheese pizza, tofu and olive oil"
560.774963,"pork, rice noodles, sugar, carrot and olive oil"
258.315979,steak and roasted potatoes
138.809998,"oatmeal, potatoes and brussels sprouts"
319.388367,"chia seeds, sweet potato, egg whites, greek yogurt and milk"
158.333496,cheese pizza and carrot
406.307678,"beef, roasted potatoes and carrot"
131.283218,"olive oil, figs and green beans"
59.639149,"cauliflower, squash and olive oil"
1009.176697,"vegetable oil, chicken, bacon, olive oil and flour"
360.958008,"sausage, pineapple and orange"
252.435623,"olive oil, fish, wheat berry and arugula"
165.200012,bacon and potatoes
155.161987,"berries, turkey bacon and pineapple"
256.980011,"scrambled eggs, sweet potato and brussels sprouts"
338.354706,cheese pizza and olive oil
108.80024,"broccoli, olive oil, chayote squash and zucchini"
92.190002,"fish, tomatoes and carrot"
432.95401,almonds and grapes
419.438782,"pork, olive oil, sugar and mixed greens"
90.68,white rice and pineapple
351.405518,"egg whites, sweet potato, olive oil and carrot"
87.146004,"bread, mushroom and cucumbers"
610.869019,"chicken, parmesan cheese, avocado and olives"
263.003998,toast
138.800003,"white rice, bean(seed) and lemon"
282.580017,"almonds, corn on the cob and cantaloupe"
498.018677,"steak, wheat berry, fish, olive oil and ketchup"
452.669983,"chicken, olives, bell peppers and carrot"
220.901733,"pork, olive oil, sunflower seeds and carrot"
493.299072,"cheese pizza, chicken, olive oil, beef and pineapple"
541.200073,"beef, olive oil, pasta and figs"
406.397736,"beef, chicken, olives and olive oil"
565.005005,"steak, chicken, roasted potatoes and olive oil"
307.117004,almonds and orange
261.856628,"fish, olive oil, green beans, bok choy and corn"
172.449982,white rice and broccoli
471.643555,"bagels, sweet potato, chia seeds, egg whites and cream cheese"
242.477127,"pineapple, cottage cheese, sweet potato, egg whites and brussels sprouts"
618.472046,sausage and nuts
370.755463,"ground turkey, cheese pizza and olive oil"
302.860138,"salmon, olive oil and honeydew melons"
178.982971,"fish, olives, olive oil and white beans"
339.673645,"egg whites, sweet potato, cantaloupe, salsa and olive oil"
246.940002,"bacon, potatoes and honeydew melons"
488.636322,"fried rice, chicken, olive oil and millet"
378.53714,"beef, olive oil and tofu"
375.109985,"almonds, corn on the cob and carrot"
48.920002,avocado and mixed greens
260.149994,"bacon, deprecated, potatoes and grapes"
315.988464,"olive oil, pizza, corn on the cob, bulgur and eggplant"
